LotFrontage,SalePrice
80,181500
68,223500
60,140000
84,250000
85,143000
75,307000
NA,200000
51,129900
50,118000
70,129500
85,345000
NA,144000
91,279500
NA,157000
51,132000
NA,149000
72,90000
66,159000
70,139000
101,325300
57,139400
75,230000
44,129900
NA,154000
110,256300
60,134800
98,306000
47,207500
60,68500
50,40000
NA,149350
85,179900
70,165500
60,277500
108,309000
112,145000
74,153000
68,109000
65,82000
84,160000
115,170000
NA,144000
NA,130250
70,141000
61,319900
48,239686
84,249700
33,113000
66,127000
NA,177000
52,114500
110,110000
68,385000
60,130000
100,180500
24,172500
89,196500
66,438780
60,124900
63,158000
60,101000
44,202500
50,140000
NA,219500
76,317000
NA,180000
72,226000
47,80000
81,225000
95,244000
69,129500
74,185000
85,144900
60,107400
21,91000
NA,135750
50,127000
72,136500
60,110000
100,193500
32,153500
78,245000
80,126500
NA,168500
121,260000
122,174000
40,164500
105,85000
60,123600
60,109900
85,98600
80,163500
60,133900
69,204750
NA,185000
78,214000
73,94750
85,83000
77,128950
NA,205000
77,178000
64,118964
94,198900
NA,169500
75,250000
60,100000
50,115000
85,115000
105,190000
75,136900
NA,180000
77,383970
NA,217000
61,259500
34,176000
NA,139000
74,155000
90,320000
65,163990
NA,180000
50,100000
75,136000
55,153900
48,181000
60,84500
NA,128000
55,87000
69,155000
69,150000
88,226000
NA,244000
75,150750
NA,220000
78,180000
80,174000
NA,143000
82,171000
73,230000
65,231500
70,115000
78,260000
71,166000
78,204000
70,125000
24,130000
51,105000
NA,222500
63,141000
NA,115000
120,122000
107,372402
NA,190000
NA,235000
84,125000
60,79000
60,109500
92,269500
100,254900
134,320000
NA,162500
110,412500
95,220000
55,103200
40,152000
62,127500
NA,190000
86,325624
62,183500
NA,228000
NA,128500
141,215000
44,239000
80,163000
47,184000
84,243000
97,211000
NA,172500
63,501837
60,100000
NA,177000
54,200100
60,120000
63,200000
92,127000
90,475000
NA,173000
60,135000
64,153337
41,286000
70,315000
NA,184000
68,192000
24,130000
60,127000
24,148500
79,311872
174,235000
92,104000
76,274900
80,140000
75,171500
50,112000
NA,149000
50,110000
99,180500
40,143900
NA,141000
NA,277000
75,145000
67,98000
83,186000
72,252678
43,156000
NA,161750
72,134450
65,210000
57,107000
NA,311500
43,167240
73,204900
NA,200000
85,179900
70,97000
103,386250
21,112000
82,290000
21,106000
70,125000
43,192500
73,148000
174,403000
21,94500
75,128200
NA,216500
21,89500
65,185500
NA,194500
93,318000
52,113000
75,262500
40,110500
63,79000
75,120000
NA,205000
80,241500
69,137000
75,140000
72,180000
NA,277000
55,76500
44,235000
65,173000
85,158000
70,145000
66,230000
64,207500
68,220000
80,231500
70,97000
120,176000
69,276000
88,151000
50,130000
30,73000
78,175500
70,185000
60,179500
71,120500
NA,148000
84,266000
73,241500
92,290000
80,139000
76,124500
55,205000
129,201000
140,141000
107,415298
83,192000
82,228500
60,185000
34,207500
74,244600
50,179200
35,164700
77,159000
NA,88000
NA,122000
60,153575
120,233230
55,135900
60,131000
NA,235000
80,167000
37,142500
75,152000
66,239000
90,175000
80,158500
90,157000
66,267000
118,205000
70,149900
87,295000
80,305900
116,225000
NA,89500
NA,82500
90,360000
NA,165600
50,132000
65,119900
150,375000
60,178000
71,188500
94,260000
75,270000
90,260000
NA,187500
111,342643
99,354000
86,301000
49,126175
96,242000
50,87000
32,324000
80,145250
NA,214500
60,78000
NA,119000
70,139000
85,284000
59,207000
59,192000
NA,228950
86,377426
70,214000
91,202500
66,155000
85,202900
60,82000
NA,87500
63,266000
36,85000
65,140200
NA,151500
NA,157500
36,154000
56,437154
68,318061
NA,190000
60,95000
60,105900
60,140000
105,177500
NA,173000
44,134000
92,130000
78,280000
NA,156000
NA,145000
64,198500
21,118000
NA,190000
59,147000
NA,159000
101,165000
78,132000
NA,162000
NA,172400
80,134432
50,125000
79,123000
65,219500
NA,61000
57,148000
102,340000
88,394432
60,179000
50,127000
60,187750
79,213500
60,76000
NA,240000
43,192000
58,81000
72,125000
93,191000
96,426000
50,119000
71,215000
NA,106500
NA,100000
60,109000
68,129000
60,123000
69,169500
60,67000
65,241000
38,245500
65,164990
60,108000
93,258000
NA,168000
NA,150000
51,115000
63,177000
109,280000
85,339750
68,60000
100,145000
NA,222000
56,115000
59,228000
73,181134
74,149500
86,239000
60,126000
65,142000
78,206300
NA,215000
100,113000
80,315000
72,139000
60,135000
NA,275000
77,109008
64,195400
130,175000
21,85400
60,79900
24,122500
100,181000
21,81000
43,212000
40,116000
50,119000
40,90350
67,110000
105,555000
92,118000
52,162900
53,172500
70,210000
73,127500
137,190000
NA,199900
50,119500
50,120000
70,110000
62,280000
NA,204000
75,210000
63,188000
80,175500
34,98000
NA,256000
NA,161000
NA,110000
75,263435
60,155000
60,62383
74,188700
60,124000
NA,178740
85,167000
79,146500
98,250000
76,187000
NA,212000
92,190000
35,148000
110,440000
41,251000
80,132500
75,208900
105,380000
79,297000
50,89471
98,326000
72,374000
50,155000
32,164000
NA,132500
80,147000
79,156000
70,175000
60,160000
21,86000
NA,115000
79,133000
105,172785
70,155000
50,91300
60,34900
NA,430000
60,184000
65,130000
70,120000
21,113000
75,226700
70,140000
100,289000
24,147000
60,124500
80,215000
75,208300
60,161000
80,124500
75,164900
40,202665
70,129900
71,134000
55,96500
94,402861
NA,158000
79,265000
NA,211000
53,234000
60,106250
90,150000
50,159000
130,184750
95,315750
62,176000
70,132000
67,446261
58,86000
NA,200624
85,175000
60,128000
60,107500
50,39300
74,178000
70,107500
57,188000
NA,111250
NA,158000
NA,272000
85,315000
NA,248000
78,213250
34,133000
58,179665
NA,229000
70,210000
54,129500
49,125000
75,263000
53,140000
50,112500
87,255500
67,108000
85,284000
58,113000
69,141000
60,108000
57,175000
NA,234000
NA,121500
77,170000
63,108000
66,185000
NA,268000
66,128000
77,325000
70,214000
79,316600
NA,135960
74,142600
60,120000
83,224500
76,170000
70,139000
80,118500
52,145000
96,164500
34,146000
81,131500
NA,181900
98,253293
81,118500
75,325000
51,133000
88,369900
55,130000
74,137000
65,143000
50,79500
64,185900
97,451950
60,138000
NA,140000
88,110000
69,319000
60,114504
53,194201
80,217500
24,151000
74,275000
50,141000
80,220000
30,151000
88,221000
85,205000
82,152000
78,225000
78,359100
61,118500
NA,313000
NA,148000
NA,261500
70,147000
21,75500
80,137500
NA,183200
59,105500
90,314813
85,305000
45,67000
90,240000
71,135000
NA,168500
80,165150
87,160000
NA,139900
80,153000
70,135000
82,168500
50,124000
34,209500
85,82500
80,139400
64,144000
60,200000
51,60000
50,93000
67,85000
53,264561
62,274000
NA,226000
75,345000
80,152000
85,370878
NA,143250
60,98300
85,155000
70,155000
21,84500
65,205950
60,108000
70,191000
60,135000
91,350000
21,88000
72,145500
60,149000
78,97500
75,167000
NA,197900
52,402000
120,110000
90,137500
49,423000
106,230500
NA,129000
65,193500
NA,168000
80,137500
64,173500
54,103600
NA,165000
110,257500
80,140000
24,148500
60,87000
52,109500
80,372500
NA,128500
50,143000
55,159434
NA,173000
90,285000
58,221000
NA,207500
84,227875
NA,148800
60,392000
61,194700
NA,141000
104,755000
42,335000
60,108480
51,141500
54,176000
50,89000
57,123500
65,138500
59,196000
85,312500
80,140000
82,361919
76,140000
70,213000
70,55000
NA,302000
48,254000
65,179540
NA,109900
56,52000
66,102776
40,189000
60,129000
NA,130500
78,165000
60,159500
80,157000
96,341000
69,128500
NA,275000
NA,143000
70,124500
60,135000
86,320000
60,120500
NA,222000
64,194500
85,110000
52,103000
39,236500
73,187500
75,222500
80,131400
NA,108000
60,163000
60,93500
72,239900
60,179000
65,190000
60,132000
65,142000
65,179000
70,175000
41,180000
NA,299800
NA,236000
65,265979
59,260400
50,98000
55,96500
NA,162000
79,217000
80,275500
61,156000
34,172500
68,212000
NA,158900
24,179400
65,290000
70,127500
60,100000
72,215200
82,337000
30,270000
75,264132
80,196500
75,160000
70,216837
47,538000
NA,134900
67,102000
94,107000
70,114500
110,395000
32,162000
86,221500
100,142500
60,144000
78,135000
63,176000
65,175900
67,187100
NA,165500
35,128000
NA,161500
60,139000
76,233000
50,107900
NA,187500
43,160200
NA,146800
92,269790
76,225000
NA,194500
70,171000
71,143500
57,110000
104,485000
60,175000
79,200000
40,109900
63,189000
107,582933
75,118000
91,227680
75,135500
144,223500
85,159950
90,106000
78,181000
NA,144500
66,55993
75,157900
45,116000
48,224900
NA,137000
NA,271000
80,155000
44,224000
72,183000
60,93000
NA,225000
60,139500
81,232600
114,385000
50,109500
65,189000
NA,185000
24,147400
80,166000
30,151000
44,237000
100,167000
75,139950
60,128000
90,153500
21,100000
75,144000
70,130500
NA,140000
60,157500
82,174900
80,141000
100,153900
NA,171000
75,213000
36,133500
75,240000
80,187000
36,131500
NA,215000
53,164000
NA,158000
102,170000
NA,127000
NA,147000
65,174000
80,152000
NA,250000
55,189950
75,131500
81,152000
70,132500
72,250580
NA,148500
67,248900
85,129000
NA,169000
80,236000
60,109500
70,200500
74,116000
60,133000
52,66500
75,303477
94,132250
74,350000
88,148000
NA,136500
60,157000
44,187500
NA,178000
60,118500
65,100000
50,328900
70,145000
59,135500
95,268000
128,149500
60,122900
70,172500
70,154500
NA,165000
64,118858
71,140000
50,106500
64,142953
100,611657
65,135000
NA,110000
64,153000
63,180000
50,240000
NA,125500
80,128000
116,255000
86,250000
NA,131000
149,174000
80,154300
NA,143500
51,88000
82,145000
30,173733
21,75000
50,35311
NA,135000
103,238000
87,176500
70,201000
67,145900
65,169990
50,193000
79,207500
NA,175000
93,285000
NA,176000
NA,236500
NA,222000
73,201000
70,117500
84,320000
63,190000
313,242000
52,79900
67,184900
75,253000
73,239799
NA,244400
55,150900
NA,214000
42,150000
100,143000
NA,137500
98,124900
70,143000
85,270000
65,192500
78,197500
60,129000
60,119900
60,133900
NA,172000
35,127500
82,145000
24,124000
70,132000
65,185000
24,155000
50,116500
NA,272000
24,155000
122,239000
80,214900
65,178900
130,160000
NA,135000
50,37900
75,140000
60,135000
36,173000
55,99500
95,182000
60,167500
NA,165000
51,85500
35,199900
68,110000
80,139000
NA,178400
98,336000
43,159895
NA,255900
75,126000
68,125000
59,117000
83,395192
NA,195000
65,197000
82,348000
121,168000
80,187000
68,173900
96,337500
51,121600
NA,136500
NA,185000
60,91000
64,206000
74,82000
60,86000
75,232000
NA,136905
43,181000
65,149900
NA,163500
21,88000
43,240000
60,102000
115,135000
75,100000
55,165000
60,85000
60,119200
70,227000
73,203000
NA,187500
NA,160000
43,213490
60,176000
64,194000
52,87000
43,191000
NA,287000
70,112500
73,167500
71,293077
79,105000
21,118000
NA,160000
102,197000
NA,310000
NA,230000
50,119750
NA,84000
89,315500
NA,287000
21,97000
21,80000
88,155000
NA,173000
34,196000
86,262280
80,278000
NA,139600
85,556581
57,145000
100,115000
60,84900
73,176485
103,200141
100,165000
68,144500
90,255000
104,180000
43,185850
NA,248000
96,335000
NA,220000
41,213500
120,81000
85,90000
50,110500
NA,154000
80,328000
59,178000
80,167900
42,151400
60,135000
72,135000
78,154000
50,91500
75,159500
74,194000
75,219500
60,170000
NA,138800
37,155900
65,126000
80,145000
75,133000
70,192000
80,160000
NA,187500
73,147000
NA,83500
85,252000
24,137500
37,197000
60,92900
24,160000
60,136500
71,146000
74,129000
78,176432
60,127000
NA,170000
50,128000
82,157000
60,60000
61,119500
70,135000
79,159500
24,106000
98,325000
114,179900
168,274725
NA,181000
107,280000
NA,188000
80,205000
73,129900
66,134500
90,117000
93,318000
NA,184100
57,130000
85,140000
70,133700
59,118400
84,212900
NA,112000
50,118000
NA,163900
60,115000
53,174000
182,259000
59,215000
60,140000
65,135000
63,93500
90,117500
80,239500
57,169000
60,102000
80,119000
54,94000
NA,196000
98,144000
60,139000
NA,197500
77,424870
NA,80000
60,80000
52,149000
NA,180000
75,174500
NA,116900
50,143000
57,124000
134,149900
90,230000
NA,120500
NA,201800
90,218000
85,179900
34,230000
92,235128
76,185000
24,146000
NA,224000
109,129000
60,108959
NA,194000
79,233170
64,245350
58,173000
120,235000
118,625000
76,171000
76,163000
35,171900
138,200500
80,239000
85,285000
37,119500
NA,115000
54,154900
77,93000
NA,250000
64,392500
160,745000
60,120000
50,186700
60,104900
107,95000
89,262000
68,195000
60,189000
NA,168000
24,174000
60,125000
NA,165000
80,158000
51,176000
58,219210
65,144000
70,178000
75,148000
71,116050
80,197900
50,117000
75,213000
78,153500
90,271900
NA,107000
70,200000
70,140000
85,290000
70,189000
152,164000
50,113000
NA,145000
69,134500
99,125000
68,112000
72,229456
52,80500
21,91500
66,115000
55,134000
78,143000
89,137900
60,184000
65,145000
86,214000
72,147000
65,367294
70,127000
NA,190000
70,132500
70,101800
NA,142000
55,130000
96,138887
36,175500
41,195000
63,142500
64,265900
65,224900
83,248328
85,170000
107,465000
NA,230000
78,178000
65,186500
NA,169900
60,129500
60,119000
93,244000
NA,171750
62,130000
NA,294000
60,165400
52,127500
91,301500
56,99900
59,190000
65,151000
NA,181000
80,128900
NA,161500
60,180500
34,181000
35,183900
60,122000
89,378500
NA,381000
78,144000
NA,260000
NA,185750
NA,137000
124,177000
53,139000
95,137000
NA,162000
NA,197900
75,237000
60,68400
67,227000
50,180000
61,150500
94,139000
50,169000
50,132500
NA,143000
NA,190000
40,278000
86,281000
NA,180500
21,119500
60,107500
78,162900
60,115000
70,138500
80,155000
35,140000
313,160000
75,154000
NA,225000
NA,177500
92,290000
73,232000
32,130000
108,325000
48,202500
60,138000
100,147000
NA,179200
100,335000
68,203000
NA,302000
108,333168
60,119000
85,206900
61,295493
47,208900
NA,275000
75,111000
70,156500
NA,72500
107,190000
50,82500
75,147000
40,55000
70,79000
60,130500
60,256000
63,176500
85,227000
55,132500
67,100000
60,125500
24,125000
80,167900
87,135000
153,52500
95,200000
120,128500
70,123000
66,155000
NA,228500
57,177000
85,155835
50,108500
NA,262500
93,283463
NA,215000
50,122000
91,200000
70,171000
50,134900
56,410000
NA,235000
102,170000
NA,110000
NA,149900
NA,177500
129,315000
51,189000
124,260000
NA,104900
73,156932
30,144152
NA,216000
68,193000
41,127000
NA,144000
48,232000
90,105000
80,165500
75,274300
NA,466500
85,250000
89,239000
52,91000
60,117000
21,83000
73,167500
45,58500
NA,237500
60,157000
NA,112000
60,105000
40,125500
80,250000
60,136000
42,377500
60,131000
70,235000
65,124000
68,123000
60,163000
53,246578
88,281213
NA,160000
51,137500
60,138000
51,137450
50,120000
62,193000
64,193879
49,282922
60,105000
44,275000
70,133000
NA,112000
60,125500
46,215000
79,230000
80,140000
60,90000
88,257000
64,207000
51,175900
60,122500
NA,340000
71,124000
NA,223000
90,179900
53,127500
37,136500
NA,274970
NA,144000
80,142000
81,271000
60,140000
60,119000
NA,182900
60,192140
NA,143750
60,64500
93,186500
80,160000
80,174000
60,120500
96,394617
90,149700
80,197000
79,191000
NA,149300
85,310000
NA,121000
63,179600
70,129000
NA,157900
80,240000
70,112000
21,92000
60,136000
78,287090
35,145000
90,84500
62,185000
62,175000
85,210000
66,266500
68,142125
75,147500
